,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
Gene32,1691,927,1182,494,145,89,149,243,1623,2651,6074,4257,68,145,133,126
Gene33,10,10,2,4,24,20,17,30,12,20,17,22,21,27,24,21
Gene34,4,3,3,0,5,10,4,7,2,3,5,6,12,10,13,19
Gene35,21,3,11,7,20,19,25,46,12,25,23,28,38,27,53,41
Gene36,31,18,32,17,44,35,34,72,44,67,41,58,64,61,81,83
Gene37,109,66,122,47,155,109,115,239,122,185,157,175,258,160,191,250
Gene38,29,22,37,21,50,52,59,89,58,58,63,84,97,61,91,107
Gene39,45,43,60,19,69,72,95,179,105,59,85,141,139,89,159,213
Gene40,10,7,16,7,25,61,60,61,37,22,22,58,58,56,53,82
Gene41,171,153,88,88,451,469,668,616,307,419,317,286,724,567,505,835
Gene42,22,5,7,5,44,26,52,59,16,32,23,23,57,61,57,88
Gene43,6,9,6,7,34,13,17,39,11,11,25,10,26,20,23,29
Gene44,41,41,12,14,14,22,9,33,64,81,58,56,14,10,5,22
Gene45,25,24,6,5,7,3,8,15,48,50,61,42,16,3,4,13
Gene46,23,9,5,14,8,2,8,10,18,58,38,20,4,5,11,12
Gene47,253,161,132,131,379,170,214,616,224,455,323,222,308,435,460,295
Gene48,50,29,21,18,47,27,32,92,80,81,85,56,57,43,72,48
Gene49,11,3,5,1,8,0,7,16,19,24,10,17,11,9,4,7
Gene50,43,12,8,5,20,10,12,34,51,69,44,44,24,18,12,22
Gene51,38,13,10,10,19,14,16,29,60,56,61,40,22,16,17,26
Gene52,23,9,8,4,8,8,10,11,23,31,39,25,6,8,13,17
Gene53,29,16,15,12,11,6,10,16,31,54,45,50,19,15,16,28
Gene54,28,21,6,14,14,18,4,22,35,39,52,50,12,16,15,18
Gene55,55,38,13,13,11,7,14,34,25,43,53,51,20,5,8,31
Gene56,74,36,28,29,102,52,96,144,49,115,86,41,139,148,145,182
Gene57,61,32,40,30,84,41,58,159,56,97,66,42,88,157,148,121
Gene58,39,15,7,24,60,30,31,82,32,58,30,36,65,63,82,66
Gene59,45,31,19,25,73,40,44,117,37,85,68,28,79,86,147,109
Gene60,251,147,100,111,414,171,268,662,185,386,337,139,435,646,787,518
Gene61,6291,3711,2686,1424,339,456,166,713,8226,9338,7578,8585,292,184,198,292
Gene62,36,13,14,8,20,20,8,25,31,43,27,36,15,25,24,39
Gene63,58,42,35,29,70,19,25,88,46,76,75,55,58,96,74,52
Gene64,27,20,8,2,3,8,6,10,19,33,30,28,5,2,4,6
Gene65,95,45,14,9,10,7,10,37,52,94,59,53,20,5,4,15
Gene66,22,10,0,3,1,3,0,10,4,10,9,10,1,1,4,1
Gene67,90,45,16,24,6,16,4,36,59,106,66,81,8,5,5,6
Gene68,43,14,6,11,0,14,10,25,34,47,34,40,7,14,0,8
Gene69,32,17,6,8,8,7,9,14,29,26,24,23,3,3,6,12
Gene70,79,35,19,17,9,7,10,28,47,101,44,72,8,0,6,13
Gene71,78,37,8,11,16,11,6,10,24,59,40,53,17,2,5,10
Gene72,62,29,10,17,21,24,17,21,54,79,37,63,11,4,6,29
Gene73,6,2,4,1,4,3,11,15,4,13,10,13,8,2,3,9
Gene74,66,38,28,40,56,47,78,170,52,89,36,40,63,70,75,63
Gene75,96,49,43,44,110,53,126,209,46,100,71,66,156,139,199,168
Gene76,406,314,289,286,709,617,688,1261,544,667,528,462,1083,897,996,1363
Gene77,65,47,74,44,161,148,113,197,109,139,108,151,265,162,228,370
Gene78,99,61,83,55,235,220,186,234,135,178,149,196,394,215,276,571
Gene79,171,139,146,111,417,411,342,549,283,286,266,373,788,449,589,1171
Gene80,59,49,81,36,186,173,133,192,129,130,108,160,288,174,231,430
Gene81,148,113,174,67,367,360,305,449,293,282,278,360,729,415,541,1038
Gene82,489,395,394,204,1315,1148,1095,1388,897,882,761,1002,2190,1189,1654,3208
Gene83,564,370,491,248,1339,1047,1077,1588,1056,950,768,976,2153,1352,1622,3032
Gene84,253,194,219,132,655,486,465,782,421,490,339,376,948,607,769,1346
Gene85,606,323,198,437,544,237,194,831,370,694,407,254,262,345,390,239
Gene86,426,232,190,138,722,367,477,1057,426,746,535,328,837,752,970,800
Gene87,81,43,53,33,140,96,124,244,105,180,151,100,222,139,252,263
Gene88,49,16,18,15,66,57,53,103,52,68,63,46,105,86,102,130
Gene89,3,6,1,2,17,4,9,19,13,11,7,8,17,17,20,10
Gene90,361,263,317,198,728,552,679,914,611,595,540,648,1019,689,838,1487
Gene91,67,36,65,24,114,86,106,149,90,94,114,114,193,126,171,246
Gene92,108,57,65,70,178,117,153,256,125,204,156,149,237,155,272,350
Gene93,68,23,18,21,72,24,31,162,40,81,47,36,70,121,199,96
Gene94,246,149,120,125,560,208,339,641,268,390,278,143,584,558,706,623
Gene95,173,129,84,58,346,130,204,477,186,220,147,100,350,394,423,358
Gene96,663,431,368,199,1067,1030,664,1078,1126,1106,974,1158,915,523,585,1083
Gene97,1262,891,1022,439,2014,2367,1745,2294,2399,2010,2049,3103,2291,1012,1411,2956
Gene98,1328,882,993,365,2249,2706,1715,2324,2636,2102,2161,3282,2449,1120,1409,3079
Gene99,642,317,445,143,900,1102,741,1006,979,842,954,1321,1015,462,610,1254
Gene100,1670,1303,1410,493,2952,4084,2432,3160,3881,2826,3052,4699,3592,1535,1885,4843
Gene101,556,372,439,144,1058,1271,684,1026,1171,966,1105,1587,1045,488,684,1460
Gene102,666,353,460,149,1089,1415,710,1116,1160,989,1059,1580,1147,469,768,1536
Gene103,1167,854,875,359,2115,2667,1568,1935,2339,1944,2060,3150,2360,1074,1418,3277
Gene104,987,774,761,266,1736,2400,1319,1616,2201,1654,1558,2617,2003,871,1060,2963
Gene105,390,242,283,80,616,865,512,655,809,616,658,1063,736,304,404,1094
Gene106,539,270,375,111,752,977,574,820,981,724,826,1318,943,373,608,1139
Gene107,742,483,656,156,1216,1949,1034,1193,1687,1201,1242,2183,1610,594,846,2014
Gene108,631,386,505,135,1068,1398,832,1201,1240,1019,1190,1711,1225,520,889,1581
Gene109,1168,750,924,226,1937,2691,1591,2075,2443,1605,1931,3323,2397,917,1324,3171
Gene110,783,418,574,149,1310,1530,1081,1465,1535,1220,1313,2133,1503,730,995,1953
Gene111,239,98,150,44,355,352,255,568,441,318,384,545,373,189,357,521
Gene112,1228,770,937,347,2174,2391,1647,2117,2495,1983,2046,3251,2267,1039,1521,3259
Gene113,933,603,731,281,1699,1996,1282,1569,2133,1516,1495,2337,1738,873,1169,2719
Gene114,1220,951,1079,426,2093,2764,1896,2188,2684,2127,1912,3210,2764,1281,1298,3673
Gene115,446,265,327,120,708,851,626,805,844,728,667,1124,901,447,518,1087
Gene116,768,524,667,187,1329,1369,856,1400,1584,1276,1168,1779,1387,650,917,1737
Gene117,1796,1272,1570,528,3363,3435,2359,3824,3801,3553,3160,4652,3383,2052,2277,4673
Gene118,394,204,262,116,703,596,442,740,847,701,608,868,594,384,412,698
Gene119,1193,484,788,341,1649,1177,1251,1977,1345,1653,1431,1581,1099,966,1074,1245
Gene120,2898,1232,1922,796,3983,2841,2871,4628,3876,4171,3741,4243,2933,2258,2520,3260
Gene121,2162,1087,1508,657,3446,2655,2294,3643,4092,3587,2933,3631,2421,1708,1829,3048
Gene122,4892,2352,3819,1421,7450,6312,5593,8222,9081,8152,6668,9156,5529,3689,3940,7051
Gene123,1852,901,1333,652,2841,2314,2141,3253,3187,3152,2542,3448,2120,1453,1454,2530
Gene124,272,179,109,121,288,116,232,551,177,415,367,202,358,395,488,429
Gene125,30,19,13,17,40,12,34,65,39,26,39,32,57,41,88,79
Gene126,71,31,51,50,191,78,77,169,129,111,83,62,215,178,234,260
Gene127,49,37,50,20,126,76,62,130,110,105,101,53,187,137,176,283
Gene128,135,86,131,69,362,199,230,394,333,326,245,228,476,349,459,545
Gene129,10,3,3,0,17,7,9,27,9,15,12,10,19,20,27,21
Gene130,88,60,104,36,128,71,85,189,127,160,97,106,186,124,145,218
Gene131,12,13,15,8,7,13,7,23,14,20,9,21,19,19,18,27
Gene132,42,27,20,24,40,22,28,136,31,60,42,22,49,78,119,43
Gene133,175,95,113,115,204,98,147,481,101,263,150,80,220,370,414,190
Gene134,99,21,31,13,132,36,67,229,62,87,69,49,138,185,261,110
Gene135,109,46,28,45,120,76,62,178,38,96,86,56,99,132,182,135
Gene136,2,2,2,6,3,9,4,10,4,6,4,1,2,13,16,13
Gene137,695,383,331,221,748,418,253,1166,789,1459,875,453,367,422,395,350
Gene138,12,4,2,2,13,4,3,30,5,19,14,7,5,8,11,8
Gene139,20,12,14,26,64,73,36,189,18,56,34,33,53,70,83,57
Gene140,9,4,4,3,16,13,12,47,15,9,13,5,21,4,21,18
Gene141,84,86,67,73,170,250,147,568,107,110,122,118,226,169,194,221
Gene142,26,17,28,28,58,58,31,222,28,37,38,35,46,41,78,59
Gene143,26,30,10,25,32,46,29,160,11,27,23,9,17,32,35,24
Gene144,4,13,3,6,6,27,14,38,2,9,9,2,8,5,12,7
Gene145,55,53,30,90,97,149,94,296,62,51,62,51,86,73,98,91
Gene146,39,30,16,48,89,81,39,235,25,53,56,25,43,40,46,28
Gene147,100,82,40,93,181,206,128,605,62,91,129,88,93,95,124,92
Gene148,160,152,54,192,313,345,159,1135,105,137,202,159,179,160,216,148
Gene149,28,10,18,19,29,21,29,111,16,12,32,16,15,19,18,16
Gene150,56,67,19,88,132,182,73,333,67,85,103,58,59,46,87,72
Gene151,23,21,5,23,29,74,22,145,17,24,20,34,39,27,29,43
Gene152,9,22,4,17,19,43,13,78,13,14,17,30,26,19,19,23
Gene153,67,73,52,81,109,166,69,310,74,64,85,58,106,51,91,91
Gene154,32,18,10,24,59,69,40,143,32,19,30,46,34,38,38,46
Gene155,19,23,17,21,59,47,48,113,28,28,41,40,56,23,53,50
Gene156,172,185,58,185,261,349,105,698,168,181,184,128,167,178,239,193
Gene157,23,8,10,17,27,34,25,116,6,25,23,14,20,20,31,17
Gene158,18,7,3,9,32,21,33,51,12,28,14,8,31,79,98,40
Gene159,81,53,19,38,186,52,61,424,58,110,97,49,125,249,303,121
Gene160,43,12,5,12,53,13,23,194,20,36,38,12,32,85,139,28
Gene161,8,2,5,4,11,9,6,16,7,8,5,12,17,16,25,27
Gene162,20,26,20,2,51,46,28,50,59,36,25,50,67,36,46,85
Gene163,674,325,332,235,885,495,472,1091,681,1017,813,624,1006,1039,1120,1210
Gene164,454,366,383,330,771,443,575,918,836,909,578,520,879,779,958,1134
Gene165,1699,1338,1297,662,2648,3159,2757,3649,2848,2404,2772,3616,4832,2141,2609,5364
Gene166,2335,2006,1789,872,3698,4947,4534,5629,3800,3255,3992,5104,7451,3083,3878,8335
Gene167,76,37,72,27,99,120,139,205,151,166,106,85,192,186,217,249
Gene168,67,38,65,20,78,77,112,136,122,113,99,127,144,126,225,237
Gene169,15,6,8,1,12,12,15,23,15,13,14,23,18,19,36,35
Gene170,118,76,110,42,198,171,195,286,313,285,237,256,464,325,375,514
Gene171,147,104,123,38,227,154,178,267,248,327,234,252,380,346,374,502
Gene172,10,2,7,4,20,12,6,20,14,8,13,13,12,16,19,8
Gene173,493,281,285,256,42,19,29,52,366,1054,2289,976,19,33,61,29
Gene174,468,255,259,196,35,27,23,62,360,876,2419,1259,21,26,39,37
Gene175,83,51,48,37,11,2,4,11,78,184,559,365,7,8,6,10
Gene176,150,119,131,68,18,6,8,19,169,299,1007,675,9,8,22,13
Gene177,95,54,79,38,6,7,6,11,95,177,556,379,5,10,12,5
Gene178,180,142,171,77,15,27,6,34,176,353,998,681,13,23,23,15
Gene179,163,88,95,73,22,13,15,29,130,240,791,466,14,24,18,13
Gene180,455,292,269,183,126,102,88,248,524,667,1946,1421,163,137,154,126
Gene181,1058,696,549,480,652,371,325,1274,1086,1917,3316,2164,437,449,637,421
Gene182,16,8,5,11,32,9,20,81,8,40,32,15,18,49,42,17
Gene183,109,22,25,29,57,14,12,66,53,119,110,56,36,43,75,39
