,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
Gene266,4,2,0,0,1,1,3,6,1,3,5,1,6,5,2,4
Gene267,3,7,4,5,16,12,15,18,5,11,13,6,21,12,24,30
Gene268,14,10,20,5,32,36,13,34,30,20,27,34,66,46,45,89
Gene269,6,3,4,2,21,7,11,10,4,6,7,6,13,10,10,38
Gene270,8,7,10,8,22,17,19,32,26,14,25,18,39,24,37,41
Gene271,2,4,6,2,11,1,3,15,5,3,1,4,10,9,18,15
Gene272,1259,944,1080,664,2064,1466,1763,2665,1994,2135,1597,1660,2734,2152,2420,3695
Gene273,63,13,28,13,90,31,50,103,69,84,63,51,88,85,123,138
Gene274,5,9,4,3,7,9,11,21,9,7,19,11,28,20,29,36
Gene275,7,8,6,2,22,18,22,25,20,27,16,18,45,23,29,51
Gene276,27,10,12,4,20,13,17,37,13,19,16,19,41,46,52,34
Gene277,9,8,6,1,9,9,10,16,11,11,9,8,17,28,22,21
Gene278,86,26,32,22,89,61,71,151,61,81,71,44,165,111,216,122
Gene279,15,10,3,4,28,16,13,48,17,16,14,19,33,25,33,48
Gene280,29,19,28,8,47,24,18,65,35,43,54,51,37,44,54,79
Gene281,14,3,1,0,14,14,7,25,18,11,24,23,20,9,23,27
Gene282,115,66,25,79,48,41,22,232,30,55,47,30,18,67,56,24
Gene283,496,252,232,139,169,125,155,553,378,523,256,275,86,161,96,89
Gene284,665,325,285,185,185,173,139,816,551,638,314,322,110,194,166,118
Gene285,2639,1235,1426,820,3958,1760,1831,4902,2990,4145,3602,2428,3046,3229,3654,3360
Gene286,4711,3249,4367,2052,8617,9058,7303,11064,8296,7470,6076,9257,12460,7545,8373,15260
Gene287,379,187,116,187,492,175,127,675,185,539,256,217,147,303,368,218
Gene288,107,27,51,43,93,50,73,202,49,121,116,51,170,143,178,158
Gene289,279,105,108,124,261,145,175,438,223,366,254,151,534,615,699,489
Gene290,874,472,392,533,1170,693,744,1927,883,1373,978,625,2443,2594,3127,2454
Gene291,46,21,18,25,89,31,48,125,40,78,48,42,140,176,203,178
Gene292,14,2,4,4,14,1,12,23,10,8,15,4,10,19,21,21
Gene293,21,6,10,16,32,7,15,61,28,32,27,21,22,42,45,25
Gene294,29,13,18,4,43,24,19,63,35,39,30,13,56,65,74,43
Gene295,1442,902,934,631,2915,1498,1503,3654,1926,2904,1839,1531,4008,3986,4439,4895
Gene296,135,57,85,63,245,141,126,306,167,245,172,165,364,332,406,482
Gene297,15,14,12,12,27,31,14,37,28,40,43,22,46,53,51,69
Gene298,59,30,39,30,112,51,61,124,44,100,59,64,133,126,119,153
Gene299,116,97,111,47,202,131,151,283,139,182,128,141,310,214,280,353
Gene300,83,74,83,51,121,98,136,219,117,138,122,134,241,215,179,263
Gene301,214,154,149,101,382,271,306,519,224,348,302,234,577,490,517,739
Gene302,159,84,95,64,272,143,196,402,170,278,158,134,414,331,393,439
Gene303,59,40,38,27,129,68,82,176,89,122,66,58,157,138,175,203
Gene304,11,5,10,0,27,13,17,29,18,21,10,21,64,39,54,90
Gene305,14,5,12,7,43,31,42,52,23,42,15,25,86,79,85,118
Gene306,44,30,31,30,100,91,55,118,84,74,61,64,127,109,154,227
Gene307,152,89,98,65,261,112,170,381,107,324,148,82,204,391,402,247
Gene308,229,115,156,87,355,168,210,537,209,438,261,142,388,431,472,477
Gene309,154,90,52,49,179,47,96,305,40,289,121,73,115,318,287,124
Gene310,50,19,22,23,46,17,17,76,22,65,29,25,22,102,98,38
Gene311,302,153,249,86,439,365,314,538,430,467,399,518,823,581,722,1160
Gene312,627,272,258,314,1195,401,486,1511,437,1285,686,395,556,1382,1277,682
Gene313,95,59,40,36,147,83,94,232,75,168,118,80,131,196,181,167
Gene314,111,80,71,60,169,116,150,283,127,181,134,143,315,234,270,333
Gene315,181,122,109,87,314,204,228,385,264,284,242,207,455,379,481,552
Gene316,132,72,83,53,166,189,198,299,160,158,160,155,450,239,322,502
Gene317,186,110,118,74,257,232,229,439,271,284,212,294,569,384,464,736
Gene318,191,160,165,89,362,265,305,482,329,370,311,301,659,426,554,909
Gene319,182,143,138,89,310,244,297,501,226,327,268,294,687,427,503,883
Gene320,431,278,351,192,809,560,506,1004,711,784,625,663,1190,974,1052,1594
Gene321,270,188,224,121,562,405,328,718,426,577,468,471,851,614,810,1067
Gene322,26,11,17,11,39,13,15,41,17,43,21,23,56,64,84,64
Gene323,43,27,41,24,83,38,47,125,38,87,58,31,114,153,166,111
Gene324,5584,2879,1898,1232,4171,4575,3149,8490,6778,8505,11753,10006,6192,3678,4961,6954
Gene325,30,25,18,20,58,23,42,110,26,67,31,19,56,94,119,61
Gene326,10,4,5,4,16,7,12,18,6,12,7,9,18,26,19,12
Gene327,4,2,8,1,39,11,15,14,6,4,13,12,22,16,25,30
Gene328,3,4,3,2,10,8,15,24,12,6,5,7,23,23,22,41
Gene329,139,99,41,98,227,79,108,381,68,342,154,62,149,452,394,121
Gene330,281,197,250,111,480,374,320,606,537,582,441,509,705,549,636,997
Gene331,104,81,87,38,152,118,144,202,130,187,114,187,270,196,287,397
Gene332,193,111,121,101,196,186,193,346,176,283,187,196,378,289,368,446
Gene333,58,20,28,17,45,31,47,97,30,63,47,32,62,67,87,80
Gene334,119,47,66,49,148,96,97,244,91,231,145,66,179,239,248,231
Gene335,417,280,327,190,757,569,577,937,674,820,644,562,1102,812,995,1467
Gene336,158,102,63,58,258,184,242,348,193,221,200,185,436,272,419,523
Gene337,86,71,60,39,164,91,101,290,80,131,109,85,187,185,200,182
Gene338,6,0,1,0,12,4,5,19,1,10,5,5,9,16,12,20
Gene339,23,14,10,17,33,19,39,113,11,29,13,7,37,83,58,24
Gene340,106,41,53,27,196,130,180,335,38,106,34,58,124,387,297,217
Gene341,6,4,0,3,6,5,5,13,0,9,0,1,9,12,12,6
Gene342,79,39,89,51,161,103,156,197,138,207,73,123,459,493,522,663
Gene343,79,85,94,35,144,128,118,212,116,162,98,129,488,386,440,605
Gene344,123,60,80,72,191,93,143,329,139,180,156,117,380,387,448,497
Gene345,115,53,60,52,180,87,150,239,115,185,149,96,339,319,396,422
Gene346,13,6,4,6,25,23,24,37,15,20,15,12,58,22,47,68
Gene347,14,4,3,2,21,13,12,22,6,24,3,7,13,22,52,23
Gene348,52,38,49,29,99,80,97,116,103,97,78,105,237,147,188,272
Gene349,609,335,387,268,1049,619,679,1098,1134,877,729,916,1874,1354,1742,2542
Gene350,1538,842,958,666,2694,1647,1631,2596,2778,2483,1913,2303,4554,3196,3852,6604
Gene351,115,55,71,45,200,87,114,277,200,200,156,144,310,253,285,317
Gene352,125,60,98,45,232,141,216,309,190,179,146,182,386,279,349,481
Gene353,3098,1788,1693,1549,3131,1431,2440,5766,2870,4915,3388,2007,2844,3778,3759,2553
Gene354,469,318,359,187,508,414,462,898,721,726,722,676,721,524,643,801
Gene355,240,162,188,89,290,291,262,398,391,411,390,352,475,320,428,514
Gene356,175,85,69,86,164,101,133,309,122,180,212,127,266,315,368,270
Gene357,113,51,52,13,24,25,23,59,96,121,137,73,11,6,14,16
Gene358,67,25,48,37,96,61,73,159,90,140,100,43,136,179,182,141
Gene359,4,5,3,2,11,2,1,33,4,6,4,1,8,21,25,4
Gene360,22,17,21,20,31,24,22,46,13,32,14,16,59,44,79,76
Gene361,66,35,22,18,52,19,12,75,60,121,81,50,34,36,44,33
Gene362,351,260,184,123,110,145,79,355,464,470,459,418,112,141,102,155
